Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
11.100	0.40000	18.900	0.052910	35.732	56.896	7.6567	3.1144	6.0033	193.78	2.4944	2.6439	0.019474	supercritical
11.200	0.40000	18.684	0.053521	36.087	57.496	7.7105	3.1146	5.9840	194.82	2.4636	2.6565	0.019566	supercritical
11.300	0.40000	18.474	0.054129	36.441	58.093	7.7636	3.1147	5.9653	195.86	2.4333	2.6691	0.019657	supercritical
11.400	0.40000	18.270	0.054736	36.794	58.689	7.8161	3.1149	5.9474	196.88	2.4036	2.6817	0.019749	supercritical
11.500	0.40000	18.070	0.055340	37.146	59.283	7.8679	3.1150	5.9301	197.90	2.3744	2.6943	0.019840	supercritical
11.600	0.40000	17.875	0.055943	37.498	59.875	7.9192	3.1151	5.9135	198.91	2.3458	2.7069	0.019931	supercritical
11.700	0.40000	17.685	0.056544	37.848	60.465	7.9699	3.1153	5.8974	199.92	2.3176	2.7195	0.020021	supercritical
11.800	0.40000	17.500	0.057143	38.197	61.054	8.0200	3.1154	5.8820	200.91	2.2900	2.7320	0.020112	supercritical
11.900	0.40000	17.319	0.057741	38.545	61.642	8.0696	3.1155	5.8671	201.90	2.2629	2.7446	0.020203	supercritical
12.000	0.40000	17.142	0.058337	38.893	62.228	8.1186	3.1156	5.8527	202.88	2.2362	2.7572	0.020293	supercritical
12.100	0.40000	16.969	0.058931	39.240	62.812	8.1672	3.1157	5.8388	203.85	2.2100	2.7697	0.020383	supercritical
12.200	0.40000	16.800	0.059524	39.586	63.396	8.2152	3.1158	5.8253	204.82	2.1843	2.7822	0.020473	supercritical
12.300	0.40000	16.635	0.060116	39.931	63.977	8.2627	3.1158	5.8124	205.78	2.1590	2.7948	0.020562	supercritical
12.400	0.40000	16.473	0.060706	40.276	64.558	8.3097	3.1159	5.7998	206.74	2.1341	2.8073	0.020652	supercritical
12.500	0.40000	16.315	0.061295	40.620	65.137	8.3562	3.1160	5.7877	207.69	2.1097	2.8198	0.020741	supercritical
12.600	0.40000	16.160	0.061882	40.963	65.716	8.4023	3.1161	5.7759	208.63	2.0856	2.8323	0.020830	supercritical
12.700	0.40000	16.008	0.062468	41.305	66.293	8.4479	3.1162	5.7645	209.56	2.0620	2.8447	0.020919	supercritical
12.800	0.40000	15.860	0.063053	41.647	66.868	8.4931	3.1162	5.7535	210.49	2.0388	2.8572	0.021008	supercritical
12.900	0.40000	15.714	0.063637	41.989	67.443	8.5378	3.1163	5.7428	211.42	2.0159	2.8696	0.021096	supercritical
13.000	0.40000	15.572	0.064219	42.329	68.017	8.5821	3.1164	5.7325	212.33	1.9935	2.8820	0.021185	supercritical
13.100	0.40000	15.432	0.064800	42.670	68.590	8.6260	3.1164	5.7224	213.25	1.9714	2.8944	0.021273	supercritical
13.200	0.40000	15.295	0.065381	43.009	69.162	8.6695	3.1165	5.7127	214.15	1.9496	2.9068	0.021361	supercritical
13.300	0.40000	15.161	0.065960	43.348	69.732	8.7125	3.1166	5.7032	215.05	1.9282	2.9192	0.021448	supercritical
13.400	0.40000	15.029	0.066538	43.687	70.302	8.7552	3.1166	5.6940	215.95	1.9072	2.9315	0.021536	supercritical
13.500	0.40000	14.900	0.067115	44.025	70.871	8.7975	3.1167	5.6851	216.84	1.8864	2.9439	0.021623	supercritical
13.600	0.40000	14.773	0.067691	44.363	71.439	8.8395	3.1168	5.6765	217.73	1.8661	2.9562	0.021710	supercritical
13.700	0.40000	14.649	0.068266	44.700	72.006	8.8810	3.1168	5.6681	218.61	1.8460	2.9685	0.021797	supercritical
13.800	0.40000	14.526	0.068840	45.037	72.573	8.9222	3.1169	5.6599	219.48	1.8262	2.9807	0.021884	supercritical
13.900	0.40000	14.406	0.069414	45.373	73.138	8.9630	3.1169	5.6519	220.36	1.8067	2.9930	0.021971	supercritical
