Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
18.000	1.2000	32.783	0.030504	54.450	91.054	7.8878	3.1222	5.9175	264.46	0.86438	3.8251	0.028542	supercritical
19.000	1.2000	30.797	0.032471	57.967	96.931	8.2056	3.1241	5.8394	271.38	0.80212	3.9194	0.029188	supercritical
20.000	1.2000	29.057	0.034416	61.438	102.74	8.5034	3.1255	5.7731	278.13	0.74175	4.0141	0.029837	supercritical
21.000	1.2000	27.517	0.036341	64.871	108.48	8.7837	3.1266	5.7166	284.71	0.68395	4.1087	0.030487	supercritical
22.000	1.2000	26.144	0.038250	68.273	114.17	9.0484	3.1275	5.6680	291.13	0.62906	4.2030	0.031137	supercritical
23.000	1.2000	24.911	0.040143	71.647	119.82	9.2994	3.1282	5.6260	297.38	0.57717	4.2969	0.031786	supercritical
24.000	1.2000	23.796	0.042023	74.998	125.43	9.5381	3.1287	5.5895	303.49	0.52825	4.3903	0.032434	supercritical
25.000	1.2000	22.783	0.043892	78.329	131.00	9.7656	3.1292	5.5575	309.46	0.48219	4.4830	0.033080	supercritical
26.000	1.2000	21.858	0.045750	81.643	136.54	9.9830	3.1295	5.5293	315.30	0.43884	4.5750	0.033724	supercritical
27.000	1.2000	21.009	0.047598	84.941	142.06	10.191	3.1298	5.5044	321.02	0.39804	4.6663	0.034366	supercritical
28.000	1.2000	20.227	0.049438	88.227	147.55	10.391	3.1300	5.4822	326.61	0.35960	4.7568	0.035005	supercritical
29.000	1.2000	19.504	0.051270	91.500	153.02	10.583	3.1302	5.4623	332.10	0.32336	4.8465	0.035642	supercritical
30.000	1.2000	18.834	0.053096	94.762	158.48	10.768	3.1303	5.4445	337.49	0.28916	4.9355	0.036276	supercritical
31.000	1.2000	18.210	0.054915	98.016	163.91	10.946	3.1304	5.4285	342.77	0.25685	5.0237	0.036907	supercritical
32.000	1.2000	17.628	0.056729	101.26	169.33	11.118	3.1305	5.4139	347.97	0.22628	5.1112	0.037535	supercritical
33.000	1.2000	17.083	0.058538	104.50	174.74	11.285	3.1305	5.4007	353.08	0.19733	5.1978	0.038161	supercritical
34.000	1.2000	16.572	0.060341	107.73	180.14	11.446	3.1305	5.3887	358.10	0.16988	5.2838	0.038784	supercritical
35.000	1.2000	16.092	0.062141	110.95	185.52	11.602	3.1305	5.3776	363.05	0.14382	5.3690	0.039404	supercritical
36.000	1.2000	15.640	0.063937	114.17	190.89	11.753	3.1305	5.3676	367.92	0.11905	5.4534	0.040021	supercritical
37.000	1.2000	15.214	0.065729	117.38	196.26	11.900	3.1305	5.3583	372.72	0.095484	5.5372	0.040635	supercritical
38.000	1.2000	14.811	0.067517	120.59	201.61	12.043	3.1304	5.3497	377.45	0.073037	5.6203	0.041247	supercritical
39.000	1.2000	14.429	0.069303	123.79	206.95	12.182	3.1304	5.3418	382.11	0.051633	5.7027	0.041855	supercritical
40.000	1.2000	14.068	0.071086	126.99	212.29	12.317	3.1303	5.3345	386.71	0.031204	5.7844	0.042461	supercritical
41.000	1.2000	13.724	0.072865	130.19	217.62	12.448	3.1302	5.3277	391.26	0.011687	5.8655	0.043064	supercritical
42.000	1.2000	13.397	0.074643	133.38	222.95	12.577	3.1301	5.3214	395.74	-0.0069766	5.9460	0.043665	supercritical
43.000	1.2000	13.086	0.076418	136.56	228.27	12.702	3.1300	5.3155	400.17	-0.024840	6.0259	0.044263	supercritical
44.000	1.2000	12.789	0.078191	139.75	233.58	12.824	3.1299	5.3100	404.55	-0.041952	6.1051	0.044858	supercritical
45.000	1.2000	12.506	0.079962	142.93	238.89	12.943	3.1298	5.3048	408.88	-0.058357	6.1838	0.045450	supercritical
46.000	1.2000	12.235	0.081731	146.11	244.19	13.060	3.1297	5.3000	413.16	-0.074097	6.2619	0.046040	supercritical
47.000	1.2000	11.976	0.083499	149.29	249.49	13.174	3.1296	5.2955	417.39	-0.089211	6.3394	0.046627	supercritical
48.000	1.2000	11.728	0.085264	152.46	254.78	13.285	3.1295	5.2913	421.57	-0.10373	6.4165	0.047212	supercritical
49.000	1.2000	11.490	0.087029	155.64	260.07	13.394	3.1294	5.2873	425.71	-0.11770	6.4929	0.047794	supercritical
50.000	1.2000	11.262	0.088791	158.81	265.36	13.501	3.1293	5.2835	429.81	-0.13113	6.5689	0.048373	supercritical
51.000	1.2000	11.043	0.090553	161.97	270.64	13.606	3.1292	5.2800	433.86	-0.14407	6.6444	0.048951	supercritical
52.000	1.2000	10.833	0.092313	165.14	275.92	13.708	3.1291	5.2767	437.88	-0.15653	6.7194	0.049525	supercritical
53.000	1.2000	10.630	0.094071	168.30	281.19	13.809	3.1289	5.2735	441.85	-0.16855	6.7939	0.050098	supercritical
54.000	1.2000	10.435	0.095829	171.47	286.46	13.907	3.1288	5.2705	445.79	-0.18013	6.8679	0.050668	supercritical
55.000	1.2000	10.247	0.097585	174.63	291.73	14.004	3.1287	5.2677	449.70	-0.19132	6.9415	0.051236	supercritical
56.000	1.2000	10.066	0.099341	177.79	297.00	14.099	3.1286	5.2650	453.56	-0.20211	7.0147	0.051801	supercritical
57.000	1.2000	9.8917	0.10110	180.95	302.26	14.192	3.1285	5.2624	457.39	-0.21254	7.0874	0.052364	supercritical
58.000	1.2000	9.7230	0.10285	184.10	307.52	14.283	3.1284	5.2600	461.19	-0.22263	7.1597	0.052925	supercritical
59.000	1.2000	9.5601	0.10460	187.26	312.78	14.373	3.1282	5.2577	464.96	-0.23238	7.2316	0.053484	supercritical
60.000	1.2000	9.4026	0.10635	190.41	318.04	14.462	3.1281	5.2555	468.69	-0.24181	7.3031	0.054041	supercritical
61.000	1.2000	9.2503	0.10810	193.57	323.29	14.549	3.1280	5.2535	472.40	-0.25094	7.3742	0.054595	supercritical
62.000	1.2000	9.1030	0.10985	196.72	328.54	14.634	3.1279	5.2515	476.07	-0.25978	7.4449	0.055148	supercritical
63.000	1.2000	8.9603	0.11160	199.87	333.80	14.718	3.1278	5.2496	479.71	-0.26834	7.5152	0.055698	supercritical
64.000	1.2000	8.8220	0.11335	203.02	339.04	14.801	3.1277	5.2478	483.33	-0.27664	7.5852	0.056246	supercritical
65.000	1.2000	8.6880	0.11510	206.17	344.29	14.882	3.1276	5.2460	486.91	-0.28468	7.6549	0.056792	supercritical
66.000	1.2000	8.5581	0.11685	209.32	349.54	14.962	3.1275	5.2444	490.47	-0.29249	7.7241	0.057337	supercritical
67.000	1.2000	8.4320	0.11860	212.47	354.78	15.041	3.1274	5.2428	494.00	-0.30006	7.7931	0.057879	supercritical
68.000	1.2000	8.3097	0.12034	215.61	360.02	15.119	3.1272	5.2413	497.51	-0.30740	7.8617	0.058419	supercritical
69.000	1.2000	8.1909	0.12209	218.76	365.26	15.195	3.1271	5.2398	500.99	-0.31454	7.9300	0.058958	supercritical
70.000	1.2000	8.0754	0.12383	221.90	370.50	15.270	3.1270	5.2385	504.45	-0.32146	7.9979	0.059494	supercritical
71.000	1.2000	7.9632	0.12558	225.05	375.74	15.345	3.1269	5.2371	507.88	-0.32819	8.0656	0.060029	supercritical
72.000	1.2000	7.8541	0.12732	228.19	380.98	15.418	3.1268	5.2358	511.29	-0.33474	8.1329	0.060562	supercritical
