Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
18.000	0.40000	10.828	0.092350	58.891	95.831	10.395	3.1187	5.4490	252.76	1.2036	3.4774	0.025376	supercritical
19.000	0.40000	10.222	0.097828	62.134	101.27	10.689	3.1190	5.4210	259.90	1.0973	3.5903	0.026170	supercritical
20.000	0.40000	9.6828	0.10328	65.364	106.67	10.966	3.1193	5.3975	266.81	1.0019	3.7011	0.026950	supercritical
21.000	0.40000	9.1998	0.10870	68.582	112.06	11.229	3.1196	5.3776	273.51	0.91562	3.8100	0.027720	supercritical
22.000	0.40000	8.7644	0.11410	71.791	117.43	11.479	3.1198	5.3606	280.03	0.83722	3.9171	0.028479	supercritical
23.000	0.40000	8.3696	0.11948	74.992	122.78	11.717	3.1200	5.3459	286.37	0.76563	4.0225	0.029228	supercritical
24.000	0.40000	8.0100	0.12484	78.185	128.12	11.944	3.1201	5.3331	292.55	0.69997	4.1261	0.029967	supercritical
25.000	0.40000	7.6808	0.13019	81.372	133.45	12.161	3.1203	5.3219	298.59	0.63950	4.2282	0.030698	supercritical
26.000	0.40000	7.3783	0.13553	84.554	138.77	12.370	3.1204	5.3120	304.50	0.58363	4.3288	0.031421	supercritical
27.000	0.40000	7.0993	0.14086	87.731	144.07	12.570	3.1205	5.3033	310.27	0.53184	4.4279	0.032136	supercritical
28.000	0.40000	6.8411	0.14618	90.904	149.37	12.763	3.1205	5.2955	315.93	0.48367	4.5256	0.032843	supercritical
29.000	0.40000	6.6014	0.15148	94.072	154.67	12.949	3.1206	5.2885	321.49	0.43877	4.6220	0.033544	supercritical
30.000	0.40000	6.3782	0.15678	97.238	159.95	13.128	3.1206	5.2822	326.94	0.39680	4.7171	0.034237	supercritical
31.000	0.40000	6.1699	0.16208	100.40	165.23	13.301	3.1207	5.2765	332.29	0.35748	4.8110	0.034925	supercritical
32.000	0.40000	5.9751	0.16736	103.56	170.50	13.468	3.1207	5.2714	337.55	0.32057	4.9037	0.035606	supercritical
33.000	0.40000	5.7923	0.17264	106.72	175.77	13.630	3.1207	5.2667	342.72	0.28584	4.9953	0.036281	supercritical
34.000	0.40000	5.6206	0.17792	109.87	181.04	13.788	3.1207	5.2624	347.81	0.25312	5.0858	0.036951	supercritical
35.000	0.40000	5.4589	0.18319	113.02	186.30	13.940	3.1207	5.2585	352.82	0.22223	5.1753	0.037615	supercritical
36.000	0.40000	5.3064	0.18845	116.17	191.55	14.088	3.1207	5.2549	357.76	0.19302	5.2639	0.038274	supercritical
37.000	0.40000	5.1623	0.19371	119.32	196.81	14.232	3.1207	5.2516	362.62	0.16536	5.3514	0.038928	supercritical
38.000	0.40000	5.0259	0.19897	122.47	202.06	14.372	3.1207	5.2485	367.42	0.13913	5.4381	0.039577	supercritical
39.000	0.40000	4.8966	0.20422	125.62	207.31	14.508	3.1207	5.2457	372.15	0.11422	5.5239	0.040221	supercritical
40.000	0.40000	4.7739	0.20947	128.76	212.55	14.641	3.1207	5.2431	376.82	0.090540	5.6088	0.040861	supercritical
41.000	0.40000	4.6572	0.21472	131.90	217.79	14.771	3.1206	5.2407	381.43	0.067997	5.6929	0.041497	supercritical
42.000	0.40000	4.5462	0.21996	135.05	223.03	14.897	3.1206	5.2384	385.98	0.046514	5.7763	0.042128	supercritical
43.000	0.40000	4.4404	0.22521	138.19	228.27	15.020	3.1206	5.2363	390.48	0.026019	5.8588	0.042755	supercritical
44.000	0.40000	4.3394	0.23045	141.33	233.50	15.141	3.1206	5.2344	394.92	0.0064464	5.9407	0.043378	supercritical
45.000	0.40000	4.2430	0.23568	144.46	238.74	15.258	3.1205	5.2325	399.31	-0.012263	6.0218	0.043997	supercritical
46.000	0.40000	4.1508	0.24092	147.60	243.97	15.373	3.1205	5.2308	403.65	-0.030163	6.1023	0.044612	supercritical
47.000	0.40000	4.0626	0.24615	150.74	249.20	15.486	3.1205	5.2292	407.95	-0.047305	6.1821	0.045224	supercritical
48.000	0.40000	3.9780	0.25138	153.87	254.43	15.596	3.1204	5.2277	412.20	-0.063734	6.2612	0.045832	supercritical
49.000	0.40000	3.8970	0.25661	157.01	259.65	15.703	3.1204	5.2263	416.40	-0.079492	6.3398	0.046437	supercritical
50.000	0.40000	3.8191	0.26184	160.14	264.88	15.809	3.1203	5.2249	420.56	-0.094619	6.4177	0.047038	supercritical
51.000	0.40000	3.7444	0.26706	163.28	270.10	15.912	3.1203	5.2237	424.68	-0.10915	6.4951	0.047636	supercritical
52.000	0.40000	3.6726	0.27229	166.41	275.33	16.014	3.1203	5.2225	428.75	-0.12312	6.5719	0.048230	supercritical
53.000	0.40000	3.6034	0.27751	169.54	280.55	16.113	3.1202	5.2213	432.79	-0.13656	6.6481	0.048822	supercritical
54.000	0.40000	3.5369	0.28273	172.68	285.77	16.211	3.1202	5.2203	436.79	-0.14949	6.7238	0.049410	supercritical
55.000	0.40000	3.4728	0.28796	175.81	290.99	16.307	3.1202	5.2193	440.75	-0.16195	6.7990	0.049995	supercritical
56.000	0.40000	3.4109	0.29318	178.94	296.21	16.401	3.1201	5.2183	444.68	-0.17395	6.8738	0.050578	supercritical
57.000	0.40000	3.3513	0.29839	182.07	301.43	16.493	3.1201	5.2174	448.57	-0.18553	6.9480	0.051157	supercritical
58.000	0.40000	3.2937	0.30361	185.20	306.64	16.584	3.1200	5.2166	452.42	-0.19670	7.0217	0.051734	supercritical
59.000	0.40000	3.2381	0.30883	188.33	311.86	16.673	3.1200	5.2157	456.25	-0.20748	7.0950	0.052308	supercritical
60.000	0.40000	3.1843	0.31404	191.46	317.07	16.761	3.1200	5.2150	460.04	-0.21790	7.1679	0.052879	supercritical
61.000	0.40000	3.1323	0.31926	194.59	322.29	16.847	3.1199	5.2142	463.79	-0.22796	7.2403	0.053447	supercritical
62.000	0.40000	3.0819	0.32447	197.71	327.50	16.932	3.1199	5.2135	467.52	-0.23769	7.3123	0.054013	supercritical
63.000	0.40000	3.0332	0.32968	200.84	332.72	17.015	3.1199	5.2128	471.22	-0.24710	7.3839	0.054577	supercritical
64.000	0.40000	2.9860	0.33490	203.97	337.93	17.097	3.1198	5.2122	474.89	-0.25621	7.4550	0.055137	supercritical
65.000	0.40000	2.9402	0.34011	207.10	343.14	17.178	3.1198	5.2116	478.53	-0.26502	7.5258	0.055696	supercritical
66.000	0.40000	2.8959	0.34532	210.22	348.35	17.258	3.1198	5.2110	482.14	-0.27356	7.5962	0.056252	supercritical
67.000	0.40000	2.8528	0.35053	213.35	353.56	17.336	3.1197	5.2105	485.72	-0.28183	7.6663	0.056806	supercritical
68.000	0.40000	2.8110	0.35574	216.48	358.77	17.413	3.1197	5.2099	489.28	-0.28985	7.7360	0.057357	supercritical
69.000	0.40000	2.7705	0.36095	219.60	363.98	17.489	3.1196	5.2094	492.81	-0.29762	7.8053	0.057906	supercritical
70.000	0.40000	2.7311	0.36616	222.73	369.19	17.564	3.1196	5.2089	496.32	-0.30517	7.8743	0.058453	supercritical
71.000	0.40000	2.6928	0.37136	225.85	374.40	17.638	3.1196	5.2084	499.80	-0.31248	7.9429	0.058998	supercritical
72.000	0.40000	2.6555	0.37657	228.98	379.61	17.711	3.1195	5.2080	503.26	-0.31959	8.0112	0.059540	supercritical
73.000	0.40000	2.6193	0.38178	232.11	384.82	17.783	3.1195	5.2076	506.69	-0.32648	8.0792	0.060081	supercritical
74.000	0.40000	2.5841	0.38698	235.23	390.02	17.853	3.1195	5.2071	510.10	-0.33318	8.1469	0.060619	supercritical
75.000	0.40000	2.5498	0.39219	238.35	395.23	17.923	3.1194	5.2067	513.49	-0.33969	8.2143	0.061155	supercritical
76.000	0.40000	2.5164	0.39740	241.48	400.44	17.992	3.1194	5.2064	516.85	-0.34601	8.2814	0.061690	supercritical
77.000	0.40000	2.4838	0.40260	244.60	405.64	18.060	3.1194	5.2060	520.19	-0.35216	8.3481	0.062222	supercritical
78.000	0.40000	2.4521	0.40781	247.73	410.85	18.128	3.1193	5.2056	523.52	-0.35815	8.4146	0.062752	supercritical
79.000	0.40000	2.4213	0.41301	250.85	416.05	18.194	3.1193	5.2053	526.82	-0.36396	8.4809	0.063281	supercritical
80.000	0.40000	2.3911	0.41821	253.97	421.26	18.259	3.1193	5.2050	530.09	-0.36963	8.5468	0.063807	supercritical
81.000	0.40000	2.3617	0.42342	257.10	426.46	18.324	3.1193	5.2047	533.35	-0.37514	8.6125	0.064332	supercritical
